Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
20/12/2008,Blackburn,Stoke,28,28,4636363,2231818
20/12/2008,Bolton,Portsmouth,28,30,4027272,6936363
20/12/2008,Fulham,Middlesbrough,28,24,4018181,3709090
20/12/2008,Hull,Sunderland,28,25,3172727,4190909
20/12/2008,West Ham,Aston Villa,25,26,5409090,10645454
21/12/2008,Arsenal,Liverpool,23,25,10545454,18636363
21/12/2008,Newcastle,Tottenham,26,24,4945454,11227272
21/12/2008,West Brom,Man City,25,24,2963636,7127272
22/12/2008,Everton,Chelsea,26,27,11318181,20363636
26/12/2008,Aston Villa,Arsenal,26,25,10372727,8318181
26/12/2008,Chelsea,West Brom,27,25,20136363,3218181
26/12/2008,Liverpool,Bolton,27,27,18954545,4145454
26/12/2008,Man City,Hull,24,27,10463636,3581818
26/12/2008,Middlesbrough,Everton,24,25,3681818,10409090
26/12/2008,Portsmouth,West Ham,28,25,6872727,5409090
26/12/2008,Stoke,Man United,28,28,2263636,15272727
26/12/2008,Sunderland,Blackburn,25,28,4190909,4636363
26/12/2008,Tottenham,Fulham,24,28,11318181,3700000
26/12/2008,Wigan,Newcastle,25,27,1909090,5400000
28/12/2008,Arsenal,Portsmouth,24,28,9363636,5036363
28/12/2008,Blackburn,Man City,29,24,4272727,9827272
28/12/2008,Bolton,Wigan,28,26,3718181,1909090
28/12/2008,Everton,Sunderland,26,26,10863636,3709090
28/12/2008,Fulham,Chelsea,28,27,3700000,18318181
28/12/2008,Newcastle,Liverpool,25,25,4963636,15318181
28/12/2008,West Brom,Tottenham,23,24,3236363,11954545
28/12/2008,West Ham,Stoke,26,28,3500000,2336363
29/12/2008,Man United,Middlesbrough,25,24,20063636,4218181
30/12/2008,Hull,Aston Villa,27,26,2745454,10372727
10/01/2009,Arsenal,Bolton,24,27,9545454,3127272
10/01/2009,Aston Villa,West Brom,26,25,9918181,3218181
10/01/2009,Everton,Hull,26,27,10863636,3609090
10/01/2009,Middlesbrough,Sunderland,24,26,4600000,5209090
10/01/2009,Newcastle,West Ham,25,25,5236363,5409090
10/01/2009,Stoke,Liverpool,28,27,2781818,16227272
11/01/2009,Man United,Chelsea,27,28,20409090,21454545
11/01/2009,Wigan,Tottenham,26,25,1909090,12227272
14/01/2009,Man United,Wigan,26,26,21018181,1909090
17/01/2009,Blackburn,Newcastle,29,25,4272727,4963636
17/01/2009,Bolton,Man United,26,26,2754545,20454545
17/01/2009,Chelsea,Stoke,27,28,18909090,2845454
17/01/2009,Hull,Arsenal,27,24,2454545,9545454
17/01/2009,Man City,Wigan,23,26,10609090,1909090
17/01/2009,Sunderland,Aston Villa,27,26,4299999,10645454
17/01/2009,West Brom,Middlesbrough,25,24,3218181,4109090
18/01/2009,Tottenham,Portsmouth,24,27,12954545,6195454
18/01/2009,West Ham,Fulham,26,28,4000000,3700000
19/01/2009,Liverpool,Everton,27,26,22454545,9736363
27/01/2009,Portsmouth,Aston Villa,30,27,6363636,9690909
27/01/2009,Sunderland,Fulham,26,28,4345454,3700000
27/01/2009,Tottenham,Stoke,25,28,12545454,2845454
27/01/2009,West Brom,Man United,25,28,2972727,20727272
28/01/2009,Blackburn,Bolton,29,26,4572727,3663636
28/01/2009,Chelsea,Middlesbrough,27,24,20500000,3472727
28/01/2009,Everton,Arsenal,26,24,10863636,11000000
28/01/2009,Man City,Newcastle,24,25,12472727,3827272
28/01/2009,West Ham,Hull,26,28,4000000,3054545
28/01/2009,Wigan,Liverpool,27,25,563636,18045454
31/01/2009,Arsenal,West Ham,24,26,9363636,4000000
31/01/2009,Aston Villa,Wigan,27,27,9690909,381818
31/01/2009,Bolton,Tottenham,26,25,2827272,11318181
31/01/2009,Fulham,Portsmouth,28,28,3700000,6227272
31/01/2009,Hull,West Brom,27,24,2500000,3172727
31/01/2009,Man United,Everton,28,26,21136363,10863636
31/01/2009,Middlesbrough,Blackburn,24,28,4436363,5227272
31/01/2009,Stoke,Man City,27,24,2636363,12472727
1/02/2009,Liverpool,Chelsea,26,27,21363636,20500000
1/02/2009,Newcastle,Sunderland,26,26,3945454,4354545
7/02/2009,Blackburn,Aston Villa,29,27,4536363,11163636
7/02/2009,Chelsea,Hull,27,27,17909090,2672727
7/02/2009,Everton,Bolton,26,26,8954545,2590909
7/02/2009,Man City,Middlesbrough,25,24,13427272,4454545
7/02/2009,Portsmouth,Liverpool,29,25,5800000,10500000
7/02/2009,Sunderland,Stoke,25,27,4600000,2454545
7/02/2009,West Brom,Newcastle,25,27,2781818,4054545
7/02/2009,Wigan,Fulham,25,28,381818,3700000
8/02/2009,Tottenham,Arsenal,25,24,14000000,10136363
8/02/2009,West Ham,Man United,26,28,4000000,21472727
14/02/2009,Portsmouth,Man City,29,25,6431818,13472727
18/02/2009,Man United,Fulham,28,28,22500000,3336363
21/02/2009,Arsenal,Sunderland,24,26,10909090,5200000
21/02/2009,Aston Villa,Chelsea,27,27,11163636,20363636
21/02/2009,Bolton,West Ham,27,25,3009090,3745454
21/02/2009,Man United,Blackburn,25,28,26154545,4709090
21/02/2009,Middlesbrough,Wigan,24,26,4154545,0
21/02/2009,Stoke,Portsmouth,28,29,2227272,6431818
22/02/2009,Fulham,West Brom,28,25,3700000,2736363
22/02/2009,Liverpool,Man City,26,25,16318181,14290909
22/02/2009,Newcastle,Everton,27,24,4054545,8190909
23/02/2009,Hull,Tottenham,28,26,2463636,14318181
28/02/2009,Arsenal,Fulham,24,28,11227272,3836363
28/02/2009,Chelsea,Wigan,26,26,22136363,0
28/02/2009,Everton,West Brom,25,24,8272727,3172727
28/02/2009,Middlesbrough,Liverpool,24,26,3990909,16681818
1/03/2009,Aston Villa,Stoke,27,28,11163636,2345454
1/03/2009,Bolton,Newcastle,26,26,3272727,3527272
1/03/2009,Hull,Blackburn,27,28,2527272,4845454
1/03/2009,West Ham,Man City,26,25,3390909,14290909
3/03/2009,Liverpool,Sunderland,25,25,18136363,5127272
3/03/2009,Portsmouth,Chelsea,29,27,7013636,21181818
3/03/2009,West Brom,Arsenal,25,24,3263636,7954545
4/03/2009,Blackburn,Everton,28,25,3736363,8863636
4/03/2009,Fulham,Hull,28,28,3700000,2654545
4/03/2009,Man City,Aston Villa,25,27,9899999,11163636
4/03/2009,Newcastle,Man United,26,27,3454545,24454545
4/03/2009,Stoke,Bolton,28,26,2454545,3272727
4/03/2009,Tottenham,Middlesbrough,25,24,13000000,3990909
4/03/2009,Wigan,West Ham,26,26,381818,3363636
7/03/2009,Sunderland,Tottenham,26,25,4690909,15818181
11/03/2009,Fulham,Blackburn,28,29,3381818,3890908
14/03/2009,Arsenal,Blackburn,23,27,9136363,3763636
14/03/2009,Bolton,Fulham,27,28,3009090,3700000
14/03/2009,Everton,Stoke,26,28,9909090,2454545
14/03/2009,Hull,Newcastle,28,27,2654545,4581818
14/03/2009,Man United,Liverpool,26,27,21636363,19454545
14/03/2009,Middlesbrough,Portsmouth,24,29,4354545,7013636
14/03/2009,Sunderland,Wigan,25,26,4363636,381818
15/03/2009,Aston Villa,Tottenham,27,25,10545454,13318181
15/03/2009,Chelsea,Man City,28,25,25227272,12127272
16/03/2009,West Ham,West Brom,25,25,2981818,3149999
21/03/2009,Blackburn,West Ham,28,27,4572727,2681818
21/03/2009,Fulham,Man United,28,28,3700000,20136363
21/03/2009,Newcastle,Arsenal,26,25,4963636,11363636
21/03/2009,Portsmouth,Everton,28,26,6495454,8090909
21/03/2009,Stoke,Middlesbrough,28,24,2618181,4336363
21/03/2009,Tottenham,Chelsea,25,28,14909090,24318181
21/03/2009,West Brom,Bolton,25,27,3245454,3381818
22/03/2009,Liverpool,Aston Villa,26,27,21363636,10209090
22/03/2009,Man City,Sunderland,25,26,11063636,4181818
22/03/2009,Wigan,Hull,26,27,381818,2890909
4/04/2009,Arsenal,Man City,24,25,10136363,12927272
4/04/2009,Blackburn,Tottenham,28,25,4781818,14909090
4/04/2009,Bolton,Middlesbrough,27,25,3545454,4372727
4/04/2009,Fulham,Liverpool,28,25,3700000,18636363
4/04/2009,Hull,Portsmouth,28,28,2672727,6200000
4/04/2009,Newcastle,Chelsea,27,26,4954545,22454545
4/04/2009,West Brom,Stoke,24,28,3254545,3181818
4/04/2009,West Ham,Sunderland,26,25,1909090,4200000
5/04/2009,Everton,Wigan,26,26,9227272,381818
5/04/2009,Man United,Aston Villa,27,27,16590909,11618181
11/04/2009,Chelsea,Bolton,27,27,22363636,3545454
