Team,Visiting,Stadium,_featureID,TotalRoadJourney
Aston Villa,Chelsea,Villa Park,2,364.678425604066
Crystal Palace,Newcastle,Selhurst Park,13,901.602659414026
Newcastle,Cardiff,St. James' Park,24,947.670823204548
Wigan,Middlesbrough,DW Stadium,38,366.733969483414
Everton,Reading,Goodison Park,14,583.355062969339
Swansea,Wigan,Swansea.com Stadium,33,557.743227854104
Cardiff,Arsenal,Cardiff City Stadium (Dinas Caerdydd),11,485.638139154223
Liverpool,Reading,Anfield,20,583.071195382089
Brighton,Norwich,Falmer Stadium (The Amex),9,506.039906074789
Middlesbrough,Huddersfield,Riverside Stadium,23,247.494577484175
Man United,Bolton,Old Trafford,22,48.1511849391819
Stoke,Blackpool,Bet365 Stadium,31,254.880346828248
QPR,Newcastle,Loftus Road,27,875.697487784638
Chelsea,Arsenal,Stamford Bridge,12,23.1511116279654
Swansea,Swansea,Swansea.com Stadium,33,0
West Brom,Fulham,The Hawthorns,36,368.403290015178
Tottenham,Burnley,White Hart Lane,34,647.25364049525
West Ham,Fulham,London Stadium (Olympic Stadium),37,34.6276176965275
Sunderland,Blackburn,Stadium of Light,32,371.246053445926
Birmingham,Liverpool,St Andrew's (stadium),3,297.565920915776
Reading,West Ham,Madejski Stadium,28,149.556818543616
Newcastle,Chelsea,St. James' Park,24,881.812788129385
Brentford,Burnley,Brentford Community Stadium,8,653.502521145049
Blackpool,Middlesbrough,Bloomfield Road,5,371.976732460445
Norwich,Liverpool,Carrow Road,25,679.795375480858
Brighton,Newcastle,Falmer Stadium (The Amex),9,1040.14593514515
QPR,QPR,Loftus Road,27,0
Tottenham,Blackpool,White Hart Lane,34,708.325438244152
Cardiff,Bolton,Cardiff City Stadium (Dinas Caerdydd),11,555.864071166621
Newcastle,West Brom,St. James' Park,24,626.330346218735
Middlesbrough,Brentford,Riverside Stadium,23,783.863933579379
Bournemouth,Hull,Dean Court (Vitality Stadium),7,779.282748384136
Hull,Man United,MKM Stadium,17,297.946400241012
Leeds,Aston Villa,Elland Road,18,330.313909847355
Wolves,Everton,Molineux Stadium,39,250.809517235172
Norwich,Brentford,Carrow Road,25,378.563465459127
Bolton,Swansea,University of Bolton Stadium,6,566.119374179897
Birmingham,Wolves,St Andrew's (stadium),3,48.3171624635512
Wolves,Stoke,Molineux Stadium,39,98.0835679250873
Leicester,Hull,King Power Stadium,19,302.126538864138
Brighton,Swansea,Falmer Stadium (The Amex),9,679.153507864643
Watford,Cardiff,Vicarage Road,35,461.054960525882
Wigan,Man City,DW Stadium,38,70.1321172423463
QPR,Aston Villa,Loftus Road,27,355.535064048002
QPR,Crystal Palace,Loftus Road,27,36.5336657144045
Birmingham,Newcastle,St Andrew's (stadium),3,629.121458761206
Hull,Portsmouth,MKM Stadium,17,762.410969294652
Blackpool,Brighton,Bloomfield Road,5,881.918266159679
Leicester,Swansea,King Power Stadium,19,511.33835320684
Burnley,Norwich,Turf Moor,10,631.121355164299
Burnley,Brentford,Turf Moor,10,653.502521145049
Stoke,Man United,Bet365 Stadium,31,125.967884918736
Hull,Hull,MKM Stadium,17,0
