Team,Visiting,Stadium,_featureID,TotalRoadJourney
Blackpool,Aston Villa,Bloomfield Road,5,376.897279065362
Man City,Bolton,Etihad Stadium,21,55.7320293517602
Sunderland,Swansea,Stadium of Light,32,966.473390715004
Leeds,Wolves,Elland Road,18,319.229856972037
Wolves,Huddersfield,Molineux Stadium,39,278.950771278656
Hull,Brentford,MKM Stadium,17,560.025770010965
Blackburn,QPR,Ewood Park,4,653.273245404227
Southampton,Leeds,St Mary's Stadium,30,713.229751806954
Man United,Everton,Old Trafford,22,99.767146806361
Sunderland,West Brom,Stadium of Light,32,612.020818405309
Liverpool,Leeds,Anfield,20,215.981846577427
Sheffield United,Bournemouth,Bramall Lane,29,657.172757909658
West Ham,Bolton,London Stadium (Olympic Stadium),37,631.150653549402
Arsenal,Southampton,Emirates Stadium,1,258.068405632619
Southampton,Southampton,St Mary's Stadium,30,0
Watford,Fulham,Vicarage Road,35,54.1538186811168
QPR,Everton,Loftus Road,27,632.691689009822
Watford,Everton,Vicarage Road,35,588.644423737487
Brighton,Leeds,Falmer Stadium (The Amex),9,771.566955260016
Portsmouth,Leeds,Fratton Park,26,757.12422006684
Bolton,Fulham,University of Bolton Stadium,6,630.750439577814
Huddersfield,Crystal Palace,Kirklees Stadium (John Smith's Stadium),16,617.300930859851
Portsmouth,Crystal Palace,Fratton Park,26,224.151617034365
Crystal Palace,Stoke,Selhurst Park,13,495.984237450664
West Brom,Cardiff,The Hawthorns,36,326.398670060152
Birmingham,Burnley,St Andrew's (stadium),3,338.174163609623
Chelsea,Norwich,Stamford Bridge,12,368.095015352898
Aston Villa,Bolton,Villa Park,2,285.695683636448
Blackpool,Blackburn,Bloomfield Road,5,85.5990769671655
Reading,Blackburn,Madejski Stadium,28,611.195276916654
Southampton,Tottenham,St Mary's Stadium,30,270.024912193256
Leicester,Bournemouth,King Power Stadium,19,479.885812527477
Blackburn,Hull,Ewood Park,4,321.769142016091
Liverpool,Norwich,Anfield,20,679.795375480858
Bolton,Blackpool,University of Bolton Stadium,6,102.371781204295
Sheffield United,Blackburn,Bramall Lane,29,192.900519572445
Southampton,Crystal Palace,St Mary's Stadium,30,246.040333622125
Blackpool,Norwich,Bloomfield Road,5,729.104711395438
Sheffield United,Burnley,Bramall Lane,29,172.055572331268
Arsenal,Watford,Emirates Stadium,1,52.1426061877647
Reading,Liverpool,Madejski Stadium,28,583.071195382088
Blackpool,Huddersfield,Bloomfield Road,5,203.330962343241
Birmingham,Sunderland,St Andrew's (stadium),3,614.81193094778
Cardiff,Newcastle,Cardiff City Stadium (Dinas Caerdydd),11,947.670823204549
Wigan,Man United,DW Stadium,38,60.0265549750729
Middlesbrough,Hull,Riverside Stadium,23,260.19569038868
QPR,West Ham,Loftus Road,27,32.473798018727
Brighton,Tottenham,Falmer Stadium (The Amex),9,188.047666116751
Brighton,Southampton,Falmer Stadium (The Amex),9,203.382915731307
Brighton,Aston Villa,Falmer Stadium (The Amex),9,512.561097152966
Arsenal,Everton,Emirates Stadium,1,626.438588344587
Leicester,Arsenal,King Power Stadium,19,298.474378453609
Tottenham,Wolves,White Hart Lane,34,388.664045671615
QPR,Arsenal,Loftus Road,27,24.297211824422
Fulham,Portsmouth,Craven Cottage,15,213.806648237047
Newcastle,Man City,St. James' Park,24,409.654295245369
Middlesbrough,Southampton,Riverside Stadium,23,904.535846039891
Leeds,QPR,Elland Road,18,605.836740672971
Crystal Palace,Swansea,Selhurst Park,13,607.038526774759
Leicester,Burnley,King Power Stadium,19,353.119248288725
Portsmouth,Swansea,Fratton Park,26,538.446039355488
Crystal Palace,Brighton,Selhurst Park,13,142.204428464167
Cardiff,Leicester,Cardiff City Stadium (Dinas Caerdydd),11,433.970872685727
Middlesbrough,Swansea,Riverside Stadium,23,887.463359611003
Hull,Bournemouth,MKM Stadium,17,779.282748384136
Birmingham,Aston Villa,St Andrew's (stadium),3,10.7810604018766
Stoke,Norwich,Bet365 Stadium,31,539.157067408235
Bournemouth,Birmingham,Dean Court (Vitality Stadium),7,434.836581391595
Blackburn,Middlesbrough,Ewood Park,4,309.809759462026
Liverpool,West Ham,Anfield,20,635.981968271556
Arsenal,Man United,Emirates Stadium,1,579.05057938599
Fulham,Middlesbrough,Craven Cottage,15,786.992027168655
Brentford,Blackpool,Brentford Community Stadium,8,714.57431889395
Hull,Middlesbrough,MKM Stadium,17,260.195690388681
West Brom,Brighton,The Hawthorns,36,518.259829663022
Fulham,Leicester,Craven Cottage,15,310.491462552938
Cardiff,Tottenham,Cardiff City Stadium (Dinas Caerdydd),11,497.377750119449
Burnley,Middlesbrough,Turf Moor,10,274.5140207707
Leeds,Newcastle,Elland Road,18,301.41006760668
Swansea,Reading,Swansea.com Stadium,33,469.678809266122
Chelsea,Sunderland,Stamford Bridge,12,867.503260315958
Man United,Norwich,Old Trafford,22,588.03857540728
Reading,Bournemouth,Madejski Stadium,28,222.764731184905
Stoke,Tottenham,Bet365 Stadium,31,459.898398520583
Southampton,Wigan,St Mary's Stadium,30,688.652730396002
Man United,Hull,Old Trafford,22,297.946400241013
Middlesbrough,Chelsea,Riverside Stadium,23,787.343344079308
Wolves,Norwich,Molineux Stadium,39,531.905088811306
Wolves,Newcastle,Molineux Stadium,39,614.908626576717
Newcastle,Southampton,St. James' Park,24,999.005290089968
Bournemouth,Leicester,Dean Court (Vitality Stadium),7,479.885812527477
Crystal Palace,Arsenal,Selhurst Park,13,38.5649146195635
Sunderland,Burnley,Stadium of Light,32,336.269864180547
Crystal Palace,Burnley,Selhurst Park,13,683.339479425331
Brighton,Huddersfield,Falmer Stadium (The Amex),9,754.807919845297
Everton,Newcastle,Goodison Park,14,480.672249793971
Leicester,Sheffield United,King Power Stadium,19,197.439239390131
Wolves,Watford,Molineux Stadium,39,350.60189251926
Newcastle,Wolves,St. James' Park,24,614.908626576718
Crystal Palace,Leeds,Selhurst Park,13,634.05996627457
Burnley,Watford,Turf Moor,10,611.068988551397
Portsmouth,Burnley,Fratton Park,26,782.810579840419
West Brom,Aston Villa,The Hawthorns,36,12.1638392312
Liverpool,Leicester,Anfield,20,345.900427514551
QPR,Norwich,Loftus Road,27,369.855608185036
Chelsea,Leicester,Stamford Bridge,12,311.349344971691
Sheffield United,Cardiff,Bramall Lane,29,552.731905232094
Blackburn,Brentford,Ewood Park,4,651.659512725544
Wigan,Newcastle,DW Stadium,38,436.092633093573
Huddersfield,Brentford,Kirklees Stadium (John Smith's Stadium),16,587.463972579569
QPR,Portsmouth,Loftus Road,27,221.211484360156
Leicester,Brentford,King Power Stadium,19,303.113746440161
Swansea,Liverpool,Swansea.com Stadium,33,508.658614357612
Wolves,Brighton,Molineux Stadium,39,549.49205918827
Man City,Middlesbrough,Etihad Stadium,21,320.7320463972
QPR,Bolton,Loftus Road,27,624.986456143721
Cardiff,Swansea,Cardiff City Stadium (Dinas Caerdydd),11,127.677871809202
Blackpool,Tottenham,Bloomfield Road,5,708.325438244152
Everton,Wolves,Goodison Park,14,250.809517235172
Man United,Swansea,Old Trafford,22,557.659012926398
Portsmouth,Middlesbrough,Fratton Park,26,948.430314299777
Brighton,Stoke,Falmer Stadium (The Amex),9,633.49122643611
Blackburn,Aston Villa,Ewood Park,4,314.555281439376
Bolton,Watford,University of Bolton Stadium,6,580.939190871385
Arsenal,Liverpool,Emirates Stadium,1,623.564670200638
Burnley,Chelsea,Turf Moor,10,661.738119676578
Stoke,Blackburn,Bet365 Stadium,31,192.538349202262
Portsmouth,Fulham,Fratton Park,26,213.806648237047
Norwich,Chelsea,Carrow Road,25,368.095015352898
Hull,Reading,MKM Stadium,17,606.312540756178
Chelsea,Brentford,Stamford Bridge,12,15.3400205148612
Fulham,Crystal Palace,Craven Cottage,15,29.5581527725186
West Brom,Sheffield United,The Hawthorns,36,231.391428246281
Swansea,Southampton,Swansea.com Stadium,33,478.394615355904
Brentford,West Brom,Brentford Community Stadium,8,357.866279447908
Swansea,Norwich,Swansea.com Stadium,33,848.506289180876
Bournemouth,Sheffield United,Dean Court (Vitality Stadium),7,657.172757909659
Birmingham,Everton,St Andrew's (stadium),3,297.849788503027
Blackpool,Leicester,Bloomfield Road,5,427.537212953286
Norwich,West Brom,Carrow Road,25,507.706531875275
West Brom,Brentford,The Hawthorns,36,357.866279447908
Hull,Crystal Palace,MKM Stadium,17,582.382698617003
Watford,Norwich,Vicarage Road,35,357.500963259348
Watford,Bolton,Vicarage Road,35,580.939190871385
Aston Villa,Reading,Villa Park,2,298.092846974505
Burnley,Man United,Turf Moor,10,84.844775976324
Norwich,Brighton,Carrow Road,25,506.039906074789
Fulham,Leeds,Craven Cottage,15,611.600724107064
Reading,Stoke,Madejski Stadium,28,425.421859831778
Newcastle,Wigan,St. James' Park,24,436.092633093574
West Ham,Hull,London Stadium (Olympic Stadium),37,556.379007506889
Wolves,Bournemouth,Molineux Stadium,39,478.04776064242
Sheffield United,Hull,Bramall Lane,29,201.43052750659
Reading,Fulham,Madejski Stadium,28,121.207513036694
West Ham,Blackburn,London Stadium (Olympic Stadium),37,659.437442809907
Southampton,West Brom,St Mary's Stadium,30,417.801711149216
Brighton,Man City,Falmer Stadium (The Amex),9,748.301366463598
Middlesbrough,Leicester,Riverside Stadium,23,482.606097074269
Middlesbrough,Wolves,Riverside Stadium,23,525.986377728549
Stoke,Everton,Bet365 Stadium,31,171.383984265437
Sheffield United,Stoke,Bramall Lane,29,161.90039127204
Blackburn,Tottenham,Ewood Park,4,645.410632075746
Fulham,Brentford,Craven Cottage,15,12.7343166206186
Arsenal,Norwich,Emirates Stadium,1,348.599561803131
Bournemouth,Burnley,Dean Court (Vitality Stadium),7,771.282570747338
Brighton,Blackburn,Falmer Stadium (The Amex),9,819.00345999127
Man United,Blackburn,Old Trafford,22,72.0359773852086
Fulham,Huddersfield,Craven Cottage,15,594.841688692345
Bolton,Chelsea,University of Bolton Stadium,6,631.608321996567
Aston Villa,Everton,Villa Park,2,291.972182277143
Huddersfield,Cardiff,Kirklees Stadium (John Smith's Stadium),16,613.971773360592
Norwich,Newcastle,Carrow Road,25,810.759471633867
Newcastle,Birmingham,St. James' Park,24,629.121458761205
Man United,Liverpool,Old Trafford,22,102.644437960542
Cardiff,West Brom,Cardiff City Stadium (Dinas Caerdydd),11,326.398670060153
Cardiff,West Ham,Cardiff City Stadium (Dinas Caerdydd),11,493.814725348528
Swansea,Hull,Swansea.com Stadium,33,783.964756856234
Southampton,Chelsea,St Mary's Stadium,30,237.400467411779
Fulham,Bournemouth,Craven Cottage,15,312.88082613421
Brentford,Tottenham,Brentford Community Stadium,8,44.961575659149
Brentford,Brentford,Brentford Community Stadium,8,0
Wolves,Swansea,Molineux Stadium,39,380.350045923712
Man United,Blackpool,Old Trafford,22,147.378946356993
Portsmouth,Brighton,Fratton Park,26,159.569188935812
Reading,Chelsea,Madejski Stadium,28,123.806029893592
Reading,Hull,Madejski Stadium,28,606.312540756178
Hull,Everton,MKM Stadium,17,382.490964858899
Blackburn,Cardiff,Ewood Park,4,594.988790996033
Middlesbrough,Liverpool,Riverside Stadium,23,417.402962990613
Everton,Brentford,Goodison Park,14,631.07795633114
Wolves,Man United,Molineux Stadium,39,217.286520726438
Stoke,Birmingham,Bet365 Stadium,31,138.153846021722
Portsmouth,Bolton,Fratton Park,26,740.240279038266
Aston Villa,QPR,Villa Park,2,355.535064048003
Wolves,Chelsea,Molineux Stadium,39,402.183257829007
Sunderland,Everton,Stadium of Light,32,479.502544925222
Norwich,Burnley,Carrow Road,25,631.121355164299
Sunderland,Liverpool,Stadium of Light,32,481.427100261614
Birmingham,Birmingham,St Andrew's (stadium),3,0
Man United,Newcastle,Old Trafford,22,419.7319268525
Sunderland,Man United,Stadium of Light,32,410.969594240981
Man City,Liverpool,Etihad Stadium,21,113.151211489689
Hull,QPR,MKM Stadium,17,556.477526987615
Cardiff,Hull,Cardiff City Stadium (Dinas Caerdydd),11,723.039700587388
Southampton,QPR,St Mary's Stadium,30,236.320482157056
Middlesbrough,Stoke,Riverside Stadium,23,438.976898768782
Stoke,Wigan,Bet365 Stadium,31,155.985671016956
West Brom,Everton,The Hawthorns,36,280.764855564724
QPR,Liverpool,Loftus Road,27,629.817770865874
Everton,Arsenal,Goodison Park,14,626.438588344588
Liverpool,Crystal Palace,Anfield,20,658.040996467473
Chelsea,Stoke,Stamford Bridge,12,474.382877701911
Wolves,Fulham,Molineux Stadium,39,399.635519540426
Sheffield United,Blackpool,Bramall Lane,29,269.120049868506
Crystal Palace,Bolton,Selhurst Park,13,653.20968174532
Watford,Aston Villa,Vicarage Road,35,313.670930483956
Fulham,Man United,Craven Cottage,15,591.067663485318
Watford,Newcastle,Vicarage Road,35,835.899845035804
Leicester,Man United,King Power Stadium,19,285.722989154129
Everton,Stoke,Goodison Park,14,171.383984265437
Middlesbrough,Man City,Riverside Stadium,23,320.7320463972
Stoke,Chelsea,Bet365 Stadium,31,474.382877701911
Brentford,Arsenal,Brentford Community Stadium,8,33.0050690985128
West Brom,Man City,The Hawthorns,36,244.315006374704
Bolton,Everton,University of Bolton Stadium,6,76.2066780888148
Leeds,Watford,Elland Road,18,561.789475400636
Liverpool,Brighton,Anfield,20,795.54798545292
Birmingham,Portsmouth,St Andrew's (stadium),3,446.900787988475
Birmingham,West Brom,St Andrew's (stadium),3,17.0849329383033
Wigan,Southampton,DW Stadium,38,688.652730396001
Bolton,Tottenham,University of Bolton Stadium,6,617.123842815239
Everton,Liverpool,Goodison Park,14,3.14241454383003
West Ham,Leicester,London Stadium (Olympic Stadium),37,310.891676524526
Aston Villa,Sheffield United,Villa Park,2,224.797467593609
Leicester,Portsmouth,King Power Stadium,19,465.824217225508
QPR,Wolves,Loftus Road,27,392.466026083307
Man City,Man United,Etihad Stadium,21,15.0467546254386
Wolves,Sunderland,Molineux Stadium,39,606.146293965199
Tottenham,Swansea,White Hart Lane,34,615.01202523992
Swansea,Sunderland,Swansea.com Stadium,33,966.473390715005
Southampton,Man City,St Mary's Stadium,30,660.424854164257
Swansea,West Brom,Swansea.com Stadium,33,381.802699086947
Leicester,Man City,King Power Stadium,19,282.965836343296
Reading,Blackpool,Madejski Stadium,28,673.53727454264
Bournemouth,Middlesbrough,Dean Court (Vitality Stadium),7,957.202103853044
Leicester,Reading,King Power Stadium,19,306.984174390734
Cardiff,Southampton,Cardiff City Stadium (Dinas Caerdydd),11,360.760340235432
Watford,Leeds,Vicarage Road,35,561.789475400635
Newcastle,Watford,St. James' Park,24,835.899845035804
Tottenham,Bolton,White Hart Lane,34,617.123842815239
Norwich,Portsmouth,Carrow Road,25,584.111943355825
Bolton,West Brom,University of Bolton Stadium,6,280.235962988828
Burnley,Hull,Turf Moor,10,284.706447589393
Swansea,Leicester,Swansea.com Stadium,33,511.33835320684
Sheffield United,Crystal Palace,Bramall Lane,29,528.755283748954
Aston Villa,Newcastle,Villa Park,2,619.736385566063
Bolton,Aston Villa,University of Bolton Stadium,6,285.695683636448
West Ham,Arsenal,London Stadium (Olympic Stadium),37,14.6643823846512
Leicester,Blackpool,King Power Stadium,19,427.537212953286
Bolton,Brentford,University of Bolton Stadium,6,623.372723465037
Reading,Tottenham,Madejski Stadium,28,153.336738909948
Brighton,Wolves,Falmer Stadium (The Amex),9,549.49205918827
Arsenal,Brighton,Emirates Stadium,1,177.108190350687
Everton,West Ham,Goodison Park,14,638.855886415505
Man United,Brighton,Old Trafford,22,751.033894638271
Aston Villa,Arsenal,Villa Park,2,351.803459085984
Everton,Aston Villa,Goodison Park,14,291.972182277143
Wigan,Everton,DW Stadium,38,63.5383072760029
West Ham,Swansea,London Stadium (Olympic Stadium),37,611.449000468999
Birmingham,Brentford,St Andrew's (stadium),3,343.070888027281
Chelsea,Everton,Stamford Bridge,12,639.313554862669
Reading,Leicester,Madejski Stadium,28,306.984174390734
Norwich,Reading,Carrow Road,25,470.80161634502
Man United,Chelsea,Old Trafford,22,591.925545904072
Everton,Bolton,Goodison Park,14,76.2066780888149
Liverpool,West Brom,Anfield,20,280.480987977473
Brighton,Cardiff,Falmer Stadium (The Amex),9,561.519232744172
West Ham,Man City,London Stadium (Olympic Stadium),37,588.735349282234
Huddersfield,QPR,Kirklees Stadium (John Smith's Stadium),16,589.077705258253
West Ham,Wigan,London Stadium (Olympic Stadium),37,623.457573167023
Norwich,Bolton,Carrow Road,25,630.178069263632
Arsenal,Tottenham,Emirates Stadium,1,13.6565790597987
Arsenal,Wolves,Emirates Stadium,1,390.273558334861
Brentford,West Ham,Brentford Community Stadium,8,41.1816552928178
Cardiff,Man United,Cardiff City Stadium (Dinas Caerdydd),11,539.042196680823
Tottenham,Stoke,White Hart Lane,34,459.898398520583
Norwich,Blackburn,Carrow Road,25,652.885181099376
Chelsea,Birmingham,Stamford Bridge,12,356.155636883132
QPR,Hull,Loftus Road,27,556.477526987615
Birmingham,Bolton,St Andrew's (stadium),3,295.067665303671
Brighton,Brighton,Falmer Stadium (The Amex),9,0
Man City,Chelsea,Etihad Stadium,21,589.193017729399
Sunderland,Wigan,Stadium of Light,32,428.170263467314
Man United,Sheffield United,Old Trafford,22,128.236398742565
Blackburn,Wolves,Ewood Park,4,283.856985009963
Southampton,Huddersfield,St Mary's Stadium,30,696.258956664104
Everton,Huddersfield,Goodison Park,14,177.012917051519
Middlesbrough,Arsenal,Riverside Stadium,23,769.667863353876
Everton,Middlesbrough,Goodison Park,14,414.525671836431
Chelsea,Fulham,Stamford Bridge,12,4.88576346143527
Wolves,Portsmouth,Molineux Stadium,39,492.92840893435
Leeds,Leeds,Elland Road,18,0
Sheffield United,Portsmouth,Bramall Lane,29,651.607777813093
Bolton,Arsenal,University of Bolton Stadium,6,618.733355478485
Swansea,Arsenal,Swansea.com Stadium,33,603.272414274694
Leicester,Cardiff,King Power Stadium,19,433.970872685727
Liverpool,Man City,Anfield,20,113.151211489689
Cardiff,Norwich,Cardiff City Stadium (Dinas Caerdydd),11,757.274766173466
Reading,Wolves,Madejski Stadium,28,335.023809009811
Crystal Palace,QPR,Selhurst Park,13,36.5336657144045
Portsmouth,Aston Villa,Fratton Park,26,455.997446899046
Man City,Brentford,Etihad Stadium,21,580.957419197869
Middlesbrough,West Brom,Riverside Stadium,23,531.860902168659
Wigan,Bolton,DW Stadium,38,21.4386246709109
Leeds,West Ham,Elland Road,18,609.404117545949
Swansea,Chelsea,Swansea.com Stadium,33,585.698211818975
Man United,Leeds,Old Trafford,22,129.388561591145
Bolton,Leeds,University of Bolton Stadium,6,150.226601597457
Fulham,Norwich,Craven Cottage,15,372.49541920391
Portsmouth,Newcastle,Fratton Park,26,1042.89975834985
Huddersfield,West Brom,Kirklees Stadium (John Smith's Stadium),16,304.189347060447
Blackburn,Brighton,Ewood Park,4,819.003459991272
Man City,Reading,Etihad Stadium,21,545.89271657503
Man City,Sunderland,Etihad Stadium,21,400.891962633851
Everton,Swansea,Goodison Park,14,508.942481944862
Sheffield United,West Ham,Bramall Lane,29,506.696255553038
Fulham,Aston Villa,Craven Cottage,15,362.704557505121
Brentford,Huddersfield,Brentford Community Stadium,8,587.463972579569
Birmingham,Brighton,St Andrew's (stadium),3,503.464438242395
Birmingham,Norwich,St Andrew's (stadium),3,494.994601520601
Southampton,Reading,St Mary's Stadium,30,145.036625273581
Southampton,Stoke,St Mary's Stadium,30,539.431991496431
Crystal Palace,West Brom,Selhurst Park,13,393.517655076447
Wolves,Wolves,Molineux Stadium,39,0
Cardiff,Middlesbrough,Cardiff City Stadium (Dinas Caerdydd),11,853.201379154472
Huddersfield,Arsenal,Kirklees Stadium (John Smith's Stadium),16,582.824604593017
Sunderland,Portsmouth,Stadium of Light,32,1028.59023053643
Leeds,Cardiff,Elland Road,18,654.250859053973
Reading,Middlesbrough,Madejski Stadium,28,789.590271465003
Brentford,Bolton,Brentford Community Stadium,8,623.372723465037
Wigan,Chelsea,DW Stadium,38,623.915241614187
Leicester,Everton,King Power Stadium,19,348.7743456585
Southampton,Aston Villa,St Mary's Stadium,30,412.102978639159
Watford,Birmingham,Vicarage Road,35,304.574271573386
Birmingham,Southampton,St Andrew's (stadium),3,403.006319728589
West Brom,Wolves,The Hawthorns,36,31.2322295252479
Hull,Leeds,MKM Stadium,17,179.37731248515
West Brom,Newcastle,The Hawthorns,36,626.330346218735
West Brom,Blackpool,The Hawthorns,36,371.437558417741
Southampton,Bolton,St Mary's Stadium,30,696.34581077838
Man United,Leicester,Old Trafford,22,285.722989154129
Aston Villa,Cardiff,Villa Park,2,330.69805406112
Man United,Crystal Palace,Old Trafford,22,613.526905652825
Bournemouth,Newcastle,Dean Court (Vitality Stadium),7,1051.67154790312
Fulham,Bolton,Craven Cottage,15,630.750439577814
Chelsea,Burnley,Stamford Bridge,12,661.738119676578
Hull,Leicester,MKM Stadium,17,302.126538864138
Reading,Newcastle,Madejski Stadium,28,884.05971551508
Man City,Blackpool,Etihad Stadium,21,154.658671483565
Liverpool,Fulham,Anfield,20,635.581754299968
Aston Villa,Crystal Palace,Villa Park,2,386.279785352818
Aston Villa,West Ham,Villa Park,2,364.220757156902
Man United,Bournemouth,Old Trafford,22,690.465205960787
QPR,Fulham,Loftus Road,27,8.11206445149868
Middlesbrough,Norwich,Riverside Stadium,23,708.308974301611
Brighton,Portsmouth,Falmer Stadium (The Amex),9,159.569188935813
Bolton,Birmingham,University of Bolton Stadium,6,295.067665303671
Blackburn,Man City,Ewood Park,4,78.4391411875039
Wigan,Blackburn,DW Stadium,38,58.8949780642484
Middlesbrough,Everton,Riverside Stadium,23,414.525671836431
Portsmouth,Blackburn,Fratton Park,26,769.099876841194
Huddersfield,Tottenham,Kirklees Stadium (John Smith's Stadium),16,581.215091929771
Burnley,Stoke,Turf Moor,10,206.345780672054
West Brom,Sunderland,The Hawthorns,36,612.020818405309
Sheffield United,Chelsea,Bramall Lane,29,507.153924000202
Fulham,Wolves,Craven Cottage,15,399.635519540425
Wigan,Arsenal,DW Stadium,38,611.040275096106
Norwich,Aston Villa,Carrow Road,25,495.81821466292
Bolton,Wolves,University of Bolton Stadium,6,254.997387207036
Blackpool,Reading,Bloomfield Road,5,673.53727454264
Reading,Wigan,Madejski Stadium,28,574.642598731348
Man City,Man City,Etihad Stadium,21,0
Leeds,Wigan,Elland Road,18,170.985058265994
Man United,Reading,Old Trafford,22,544.624812633128
Bournemouth,Southampton,Dean Court (Vitality Stadium),7,90.4120280969573
Bournemouth,Liverpool,Dean Court (Vitality Stadium),7,718.070012770972
Liverpool,Wolves,Anfield,20,250.525649647921
Everton,Leeds,Goodison Park,14,213.104555423246
Wolves,Cardiff,Molineux Stadium,39,335.021002081936
Middlesbrough,Man United,Riverside Stadium,23,330.809678004331
Birmingham,Crystal Palace,St Andrew's (stadium),3,378.11712362945
Norwich,Crystal Palace,Carrow Road,25,380.950327306574
Reading,Swansea,Madejski Stadium,28,469.678809266122
Hull,Liverpool,MKM Stadium,17,385.368256013081
Wigan,QPR,DW Stadium,38,617.293375761341
Swansea,Middlesbrough,Swansea.com Stadium,33,887.463359611003
Cardiff,Brighton,Cardiff City Stadium (Dinas Caerdydd),11,561.519232744171
Middlesbrough,Middlesbrough,Riverside Stadium,23,0
Wolves,Reading,Molineux Stadium,39,335.02380900981
Southampton,Norwich,St Mary's Stadium,30,603.53009312169
Fulham,Burnley,Craven Cottage,15,660.880237257825
Brentford,Newcastle,Brentford Community Stadium,8,878.333377629456
Sunderland,Arsenal,Stadium of Light,32,849.827779590527
Bournemouth,Fulham,Dean Court (Vitality Stadium),7,312.88082613421
Newcastle,Burnley,St. James' Park,24,344.192233806807
Arsenal,West Ham,Emirates Stadium,1,14.6643823846512
Leeds,Bolton,Elland Road,18,150.226601597457
Blackpool,Chelsea,Bloomfield Road,5,722.80991742548
Blackpool,Sheffield United,Bloomfield Road,5,269.120049868507
West Brom,Wigan,The Hawthorns,36,272.542882606449
Fulham,Sunderland,Craven Cottage,15,867.151943405305
Brentford,Fulham,Brentford Community Stadium,8,12.7343166206185
West Ham,West Ham,London Stadium (Olympic Stadium),37,0
Wolves,Middlesbrough,Molineux Stadium,39,525.986377728548
Sunderland,Newcastle,Stadium of Light,32,38.6277757600963
Burnley,Burnley,Turf Moor,10,0
Crystal Palace,Aston Villa,Selhurst Park,13,386.279785352819
Swansea,Blackburn,Swansea.com Stadium,33,605.244094009309
Tottenham,Liverpool,White Hart Lane,34,621.955157537392
Burnley,Cardiff,Turf Moor,10,621.38761497217
West Brom,Arsenal,The Hawthorns,36,359.041328809612
Newcastle,Sheffield United,St. James' Park,24,399.30004184967
Crystal Palace,Sheffield United,Selhurst Park,13,528.755283748955
Man City,QPR,Etihad Stadium,21,582.571151876553
Aston Villa,Norwich,Villa Park,2,495.81821466292
Man City,Newcastle,Etihad Stadium,21,409.65429524537
Fulham,Hull,Craven Cottage,15,562.241510421708
Tottenham,West Brom,White Hart Lane,34,357.431816146367
Arsenal,Swansea,Emirates Stadium,1,603.272414274693
Leeds,Swansea,Elland Road,18,686.042243197818
Stoke,Huddersfield,Bet365 Stadium,31,191.941292318889
Sheffield United,Fulham,Bramall Lane,29,506.296041581449
Stoke,QPR,Bet365 Stadium,31,467.761011849065
West Brom,Liverpool,The Hawthorns,36,280.480987977473
Norwich,Bournemouth,Carrow Road,25,681.258199033015
Sunderland,Leeds,Stadium of Light,32,288.50740962984
Liverpool,Wigan,Anfield,20,66.4155984301843
Newcastle,Middlesbrough,St. James' Park,24,122.005034911144
Watford,Chelsea,Vicarage Road,35,55.9739881859764
Everton,Blackburn,Goodison Park,14,113.336965260773
Portsmouth,Sheffield United,Fratton Park,26,651.607777813093
Burnley,Southampton,Turf Moor,10,738.916111580533
Sunderland,Brentford,Stadium of Light,32,864.023849816029
Aston Villa,Aston Villa,Villa Park,2,0
Everton,Tottenham,Goodison Park,14,624.829075681341
Leeds,Brighton,Elland Road,18,771.566955260016
Blackpool,Sunderland,Bloomfield Road,5,402.562880540227
Crystal Palace,Norwich,Selhurst Park,13,380.950327306574
Blackburn,Burnley,Ewood Park,4,41.0705605715574
Blackburn,Blackpool,Ewood Park,4,85.5990769671655
Bournemouth,Reading,Dean Court (Vitality Stadium),7,222.764731184905
Burnley,Brighton,Turf Moor,10,820.846468410778
Swansea,Brentford,Swansea.com Stadium,33,570.965109490965
Arsenal,Portsmouth,Emirates Stadium,1,239.168039630892
Middlesbrough,Brighton,Riverside Stadium,23,945.676491095073
Aston Villa,Man United,Villa Park,2,247.98481715585
Brentford,Crystal Palace,Brentford Community Stadium,8,41.0954741150345
Leeds,Man City,Elland Road,18,119.310929984015
Brentford,Liverpool,Brentford Community Stadium,8,628.204038187191
Wigan,Sunderland,DW Stadium,38,428.170263467313
Crystal Palace,Watford,Selhurst Park,13,81.1117062470628
Brentford,Everton,Brentford Community Stadium,8,631.077956331139
Aston Villa,Tottenham,Villa Park,2,350.193946422738
Aston Villa,Wolves,Villa Park,2,43.3960687564479
Norwich,Leeds,Carrow Road,25,544.564620875903
Blackburn,Wigan,Ewood Park,4,58.8949780642484
Sheffield United,Huddersfield,Bramall Lane,29,88.9049990881608
Huddersfield,Leicester,Kirklees Stadium (John Smith's Stadium),16,285.984886501027
Swansea,Crystal Palace,Swansea.com Stadium,33,607.038526774759
Stoke,Brighton,Bet365 Stadium,31,633.49122643611
Tottenham,QPR,White Hart Lane,34,36.2537183850582
Blackpool,Wigan,Bloomfield Road,5,102.586601477019
Newcastle,Blackburn,St. James' Park,24,379.168423072186
Huddersfield,Wigan,Kirklees Stadium (John Smith's Stadium),16,134.893419894267
QPR,Blackburn,Loftus Road,27,653.273245404226
Hull,Newcastle,MKM Stadium,17,374.48784864759
Huddersfield,Leeds,Kirklees Stadium (John Smith's Stadium),16,40.6484589325374
Leeds,Hull,Elland Road,18,179.37731248515
Hull,Tottenham,MKM Stadium,17,538.022559159833
